,Tag,Latitude,Longitude,Aprox_Elev,Phase,easting,northing
0,PS12,45.638003999999995,-120.642973,1622.6189630000001,,683695.4958836242,5056530.6237809025
1,vmet2,45.6836,-120.6369,1356.4086220000002,,684019.2786401651,5061610.201617568
2,vmet3,45.6879,-120.6428,1314.808648,,683545.7690807057,5062074.376837577
3,siemens2,45.6167,-120.6202,1586.4833859999999,,685540.6048805208,5054216.281400388
4,siemens3,45.6409,-120.551,1007.519108,,690853.5059579301,5057067.41586192
5,tower001,45.691619,-120.633431,1233.41,1.0,684263.0674203245,5062509.083224035
6,tower002,45.689793,-120.63348300000001,1252.5,1.0,684265.0180376928,5062306.097366512
7,tower003,45.687965999999996,-120.633521,1271.98,1.0,684268.0615968034,5062103.032702223
8,tower004,45.684031,-120.63388,1312.72,1.0,684253.0333335173,5061665.03328888
9,tower005,45.682519,-120.63301899999999,1359.49,1.0,684325.0477447535,5061499.034878943
10,tower006,45.680993,-120.630592,1360.83,1.0,684519.0632688527,5061335.090928999
11,tower007,45.676456,-120.635368,1352.2,1.0,684162.025585656,5060820.037730518
12,tower008,45.674677,-120.63465900000001,1371.24,1.0,684223.0836259095,5060624.025163911
13,tower009,45.672845,-120.633119,1400.44,1.0,684349.0422318914,5060424.038354866
14,tower010,45.670691999999995,-120.631271,1414.62,1.0,684500.0534035849,5060189.101182214
15,tower011,45.669089,-120.630376,1417.61,1.0,684575.0356692376,5060013.073762621
16,tower012,45.667299,-120.62957800000001,1421.15,1.0,684643.0812769535,5059816.048068487
17,tower013,45.665554,-120.62919,1420.38,1.0,684679.0452176738,5059623.076601238
18,tower014,45.663717999999996,-120.62966499999999,1424.69,1.0,684648.0838174522,5059418.004659982
19,tower015,45.661390000000004,-120.63108600000001,1440.2,1.0,684545.0426199157,5059156.091761874
20,tower016,45.659553,-120.63235700000001,1447.47,1.0,684452.0646025058,5058949.07563785
21,tower017,45.656649,-120.634251,1465.46,1.0,684314.0463589382,5058622.0851958385
22,tower018,45.654345,-120.635131,1477.18,1.0,684253.0468951163,5058364.089946116
23,tower019,45.651478000000004,-120.63796,1479.54,1.0,684042.030511705,5058039.066140177
24,tower020,45.648309000000005,-120.639248,1476.12,1.0,683952.0542935003,5057684.037222532
25,tower021,45.646478,-120.639518,1471.83,1.0,683937.0118219373,5057479.996709346
26,tower022,45.64488,-120.6397,1465.75,1.0,683928.0622904913,5057302.044229838
27,tower023,45.643256,-120.63951200000001,1458.59,1.0,683948.0299288629,5057122.053022525
28,tower024,45.641628000000004,-120.63959299999999,1449.51,1.0,683947.048387257,5056940.999651601
29,tower025,45.64001,-120.639674,1439.87,1.0,683946.0335896031,5056761.057307947
30,tower026,45.638382,-120.63975500000001,1429.65,1.0,683945.0510188024,5056580.004034669
31,tower027,45.636854,-120.639845,1419.22,1.0,683943.0391454801,5056410.03992006
32,tower028,45.694558,-120.620694,1147.1,1.0,685245.0591876591,5062865.009699742
33,tower029,45.692609999999995,-120.620507,1178.02,1.0,685266.053818181,5062649.022426143
34,tower030,45.690661999999996,-120.620333,1201.12,1.0,685286.0370510904,5062433.00514931
35,tower031,45.68884,-120.619716,1223.17,1.0,685340.0983240022,5062232.012273475
36,tower032,45.687169,-120.619004,1240.59,1.0,685401.0607032577,5062048.015789198
37,tower033,45.685383,-120.61837299999999,1234.42,1.0,685456.0991104459,5061851.055812781
38,tower034,45.682432,-120.617125,1244.82,1.0,685563.0404355037,5061526.09688354
39,tower035,45.679626,-120.62202099999999,1355.21,1.0,685191.0385857922,5061203.014775004
40,tower036,45.677915000000006,-120.621978,1360.06,1.0,685200.0349709422,5061013.024856489
41,tower037,45.676086,-120.618845,1375.35,1.0,685450.074392432,5060817.079823967
42,tower038,45.674704999999996,-120.61693899999999,1411.0,1.0,685603.0841584128,5060668.070686418
43,tower039,45.673272,-120.61556200000001,1444.76,1.0,685715.0719310592,5060512.060565577
44,tower040,45.686807,-120.59441299999999,1103.61,1.0,687317.0718462567,5062065.062233818
45,tower041,45.685115,-120.59483200000001,1127.36,1.0,687290.0953044672,5061876.10294023
46,tower042,45.683422,-120.594815,1139.14,1.0,687297.0717950172,5061688.053020623
47,tower043,45.681718,-120.595132,1156.25,1.0,687278.0751663907,5061497.999467904
48,tower044,45.680002,-120.59527,1162.4,1.0,687273.0567125938,5061307.031688626
49,tower045,45.676846999999995,-120.60101599999999,1301.79,1.0,686836.0875636968,5060943.087780697
50,tower046,45.674743,-120.60114499999999,1355.79,1.0,686833.0464730248,5060709.035762611
51,tower047,45.671906,-120.613964,1450.51,1.0,685844.0562842513,5060364.008973114
52,tower048,45.670454,-120.61293400000001,1443.33,1.0,685929.090500334,5060205.086044675
53,tower049,45.669028000000004,-120.61189099999999,1433.88,1.0,686015.0551656224,5060049.08295108
54,tower050,45.66766,-120.61063999999999,1438.51,1.0,686117.0333018389,5059900.008204058
55,tower051,45.666162,-120.610023,1438.84,1.0,686170.061833916,5059735.017707034
56,tower052,45.664633,-120.61005,1438.48,1.0,686173.0297897795,5059565.08578655
57,tower053,45.663072,-120.610322,1440.84,1.0,686157.018255603,5059391.029063738
58,tower054,45.66146,-120.611147,1456.15,1.0,686098.0948582836,5059210.020912416
59,tower055,45.675865,-120.583044,1031.77,1.0,688239.0467314583,5060876.097250221
60,tower056,45.674229,-120.58319099999999,1084.66,1.0,688233.0860925647,5060693.994743111
61,tower057,45.672595,-120.58335100000001,1105.1,1.0,688226.1054020396,5060512.083926861
62,tower058,45.67096,-120.583499,1118.47,1.0,688220.0618464237,5060330.090294786
63,tower059,45.669169000000004,-120.585206,1135.69,1.0,688093.1086086251,5060127.10113274
64,tower060,45.666218,-120.591675,1299.26,1.0,687599.0950508597,5059784.070920499
65,tower061,45.664369,-120.592782,1350.42,1.0,687519.0420027019,5059576.056942543
66,tower062,45.662571,-120.59375700000001,1396.03,1.0,687449.0956027044,5059374.019255875
67,tower063,45.660817,-120.59510300000001,1409.64,1.0,687350.095432305,5059176.00264419
68,tower064,45.658916999999995,-120.597187,1412.11,1.0,687194.0814046166,5058960.041820552
69,tower065,45.657037,-120.59896200000001,1399.01,1.0,687062.0630613376,5058747.029090792
70,tower066,45.655322999999996,-120.600499,1412.05,1.0,686948.0252603681,5058553.017391966
71,tower067,45.652448,-120.60288,1389.27,1.0,686772.0830847193,5058228.054343412
72,tower068,45.65077,-120.603132,1380.85,1.0,686758.0288102154,5058041.044226717
73,tower069,45.653933,-120.621826,1487.26,1.0,685291.0203127223,5058349.0190468365
74,tower070,45.652456,-120.621362,1484.17,1.0,685332.0459867002,5058186.00107992
75,tower071,45.650861,-120.61953000000001,1479.63,1.0,685480.0526154914,5058013.041501439
76,tower072,45.649558,-120.61791699999999,1475.41,1.0,685610.0380292364,5057872.018219868
77,tower073,45.648201,-120.616704,1475.12,1.0,685709.0397059782,5057724.070543533
78,tower074,45.645779,-120.61625500000001,1475.9,1.0,685752.035302952,5057456.03274697
79,tower075,45.643941,-120.61571699999999,1480.72,1.0,685800.0374861555,5057253.082862432
80,tower076,45.6421,-120.61508899999998,1478.8,1.0,685855.0657218229,5057050.008872663
81,tower301,45.671017,-120.681125,1206.74,2.0,680615.9324864552,5060111.516842456
82,tower302,45.668581,-120.67997,1231.74,2.0,680713.7370007832,5059843.487736937
83,tower303,45.665834999999994,-120.679498,1246.74,2.0,680759.3447815044,5059539.477253486
84,tower304,45.663309999999996,-120.67723000000001,1266.73,2.0,680944.150970871,5059264.077246145
85,tower305,45.661085,-120.67448799999998,1306.73,2.0,681164.930542391,5059023.084247868
86,tower306,45.669505,-120.668127,1231.73,2.0,681633.2204651163,5059972.944535522
87,tower307,45.667116,-120.66589599999999,1266.72,2.0,681814.7328561441,5059712.59487436
88,tower308,45.665216,-120.66503600000001,1311.72,2.0,681887.878159937,5059503.461560288
89,tower309,45.663305,-120.66083300000001,1327.43,2.0,682221.4805020335,5059300.710121664
90,tower310,45.678415,-120.64646299999998,1318.65,2.0,683291.537414032,5061012.212569778
91,tower311,45.675865,-120.64785,1315.75,2.0,683191.8455321814,5060725.736294798
92,tower312,45.67318,-120.649402,1317.95,2.0,683079.732806316,5060423.886319172
93,tower313,45.670913,-120.65168700000001,1319.49,2.0,682909.1530111574,5060166.802824508
94,tower314,45.668948,-120.64560800000001,1333.07,2.0,683389.0585335596,5059962.402385476
95,tower315,45.665615,-120.64618600000001,1378.7,2.0,683354.924686954,5059590.787875561
96,tower316,45.663765999999995,-120.64703600000001,1375.94,2.0,683294.7504715731,5059383.420861548
97,tower317,45.661203,-120.648288,1387.86,2.0,683205.5854374054,5059095.810551143
98,tower318,45.6594,-120.64838700000001,1394.76,2.0,683203.7564663732,5058895.274010731
99,tower319,45.657598,-120.648432,1464.99,2.0,683206.1305384464,5058694.972184739
100,tower320,45.655832000000004,-120.64848300000001,1455.71,2.0,683207.9192881532,5058498.656216784
101,tower321,45.654069,-120.648618,1475.27,2.0,683203.1532154754,5058302.481409085
102,tower322,45.652275,-120.64899799999999,1470.92,2.0,683179.3983779831,5058102.302154994
103,tower323,45.64793,-120.658033,1407.97,2.0,682489.5581219873,5057598.953136931
104,tower324,45.645292,-120.65701100000001,1392.62,2.0,682577.7673190573,5057308.206073341
105,tower325,45.643055,-120.655153,1382.39,2.0,682729.8269858952,5057063.917447092
106,tower326,45.633663,-120.65160300000001,1306.05,2.0,683037.0623329694,5056028.592316119
107,tower327,45.631771,-120.65177800000001,1284.21,2.0,683029.5846838884,5055817.995538581
108,tower328,45.629775,-120.652077,1260.3,2.0,683012.779308284,5055595.5613942295
109,tower329,45.627665,-120.664988,1426.71,2.0,682013.2542510151,5055331.730359183
110,tower330,45.625904999999996,-120.665226,1436.71,2.0,682000.4010283423,5055135.657769404
111,tower331,45.622883,-120.664142,1436.71,2.0,682094.688917181,5054802.383933762
112,tower332,45.619309,-120.662034,1366.71,2.0,682270.6054555217,5054410.114536749
113,tower333,45.617642,-120.66243200000001,1336.71,2.0,682244.9804000107,5054224.009642006
114,tower334,45.63412,-120.63802700000001,1412.51,2.0,684093.6834247522,5056110.475254925
115,tower335,45.632139,-120.638025,1399.38,2.0,684100.3289497772,5055890.3952732375
116,tower336,45.629422,-120.639905,1365.24,2.0,683962.6904119011,5055584.223872738
117,tower337,45.625933,-120.63981799999999,1340.22,2.0,683980.891745681,5055196.804027696
118,tower338,45.622811999999996,-120.64054499999999,1310.49,2.0,683934.4330732942,5054848.399170363
119,tower339,45.633540999999994,-120.625964,1471.51,2.0,685035.7765402092,5056073.944336075
120,tower340,45.631024,-120.62638799999999,1462.94,2.0,685011.015868983,5055793.332113232
121,tower341,45.629087,-120.62640900000001,1457.54,2.0,685015.7554530092,5055578.087468337
122,tower342,45.626888,-120.62637600000001,1449.21,2.0,685025.5664219097,5055333.860031224
123,tower343,45.624632,-120.627199,1433.31,2.0,684968.8372884186,5055081.323411982
124,tower344,45.622713,-120.627852,1419.34,2.0,684924.2466794967,5054866.619772448
125,tower345,45.619345,-120.632598,1521.69,2.0,684565.3261554384,5054481.499699954
126,tower346,45.617005999999996,-120.637681,1466.69,2.0,684176.7159429757,5054209.946282916
127,tower347,45.614683,-120.640151,1511.69,2.0,683991.7470712286,5053946.192320801
128,tower352,45.64015,-120.61457800000001,1451.89,2.0,685901.3397004111,5056834.554093539
129,tower353,45.633555,-120.59663799999998,1395.96,2.0,687321.4124142078,5056143.661668244
130,tower354,45.635426,-120.596622,1387.57,2.0,687316.4224615839,5056351.562822231
131,tower355,45.637547,-120.60543500000001,1383.5,2.0,686622.5115178246,5056566.628997258
132,tower356,45.635487,-120.610721,1421.81,2.0,686217.3745027303,5056325.464956823
133,tower357,45.633736,-120.610722,1428.35,2.0,686223.0992725884,5056130.930569025
134,tower358,45.631818,-120.61141599999999,1446.45,2.0,686175.362853445,5055916.232035661
135,tower359,45.629988,-120.61528100000001,1451.87,2.0,685880.1661761127,5055703.947688353
136,tower360,45.626559,-120.61498700000001,1471.89,2.0,685914.4240818366,5055323.6762637235
137,tower361,45.624836,-120.61496399999999,1473.8,2.0,685921.9158295429,5055132.308548278
138,tower362,45.623160999999996,-120.614984,1472.13,2.0,685925.8967010928,5054946.173770622
139,tower363,45.621433,-120.615389,1469.6,2.0,685900.0390447045,5054753.25747517
140,tower364,45.618718,-120.616904,1591.69,2.0,685790.9055323284,5054448.1136726225
141,tower365,45.61707,-120.61726200000001,1586.69,2.0,685768.440308464,5054264.195012543
142,tower366,45.615392,-120.61730700000001,1576.69,2.0,685770.4756493327,5054077.669229073
143,tower369,45.626073999999996,-120.587447,1419.89,2.0,688062.7942740093,5055334.075622563
144,tower370,45.624308,-120.588024,1422.79,2.0,688023.7237705641,5055136.523066283
145,tower371,45.622518,-120.58851999999999,1442.76,3.0,687991.04492908,5054936.494604852
146,tower372,45.620832,-120.588851,1450.46,3.0,687970.8788224139,5054748.407670497
147,tower373,45.628578000000005,-120.584966,1423.56,2.0,688247.8036475084,5055618.09107543
148,tower374,45.630367,-120.58451799999999,1400.29,3.0,688276.7308527762,5055817.897495386
149,tower375,45.632401,-120.58421299999999,1385.92,3.0,688293.6889877571,5056044.586917721
150,tower376,45.634824,-120.58023999999999,1379.24,3.0,688595.2205724738,5056323.1233804645
151,tower377,45.63657,-120.58008899999999,1352.94,3.0,688601.1287932908,5056517.4554387415
152,tower401,45.647728,-120.602671,1360.3,3.0,686804.0658965341,5057704.15961782
153,tower402,45.645947,-120.60209099999999,1393.96,3.0,686855.1846594788,5057507.647409887
154,tower403,45.644156,-120.602678,1429.99,3.0,686815.4000570156,5057307.30172185
155,tower404,45.640091,-120.599476,1336.41,3.0,687078.4546288116,5056863.163370835
156,tower405,45.669553,-120.57201200000002,1052.42,3.0,689119.507868621,5060200.848784341
157,tower406,45.667151000000004,-120.570751,1104.02,3.0,689225.8257775835,5059936.970868585
158,tower407,45.664714000000004,-120.56960600000001,1130.78,3.0,689323.2337527357,5059668.931843304
159,tower408,45.662932,-120.56964199999999,1166.99,3.0,689326.4395684539,5059470.869911497
160,tower409,45.661167999999996,-120.569755,1171.05,3.0,689323.5858587855,5059274.625711165
161,tower410,45.659026000000004,-120.571832,1165.24,3.0,689169.0005794973,5059031.744324484
162,tower411,45.656928,-120.57393300000001,1166.16,3.0,689012.3847573438,5058793.698853262
163,tower412,45.654803,-120.57606000000001,1186.89,3.0,688853.8215528418,5058552.596768529
164,tower413,45.652777,-120.577995,1270.18,3.0,688709.8723028207,5058322.950309535
165,tower414,45.651084999999995,-120.578147,1296.85,3.0,688703.7148317359,5058134.614429814
166,tower415,45.649349,-120.57781100000001,1308.39,3.0,688735.7285337539,5057942.540352928
167,tower416,45.647594,-120.57777,1336.5,3.0,688744.8208656914,5057747.660242551
168,tower417,45.645813000000004,-120.57780600000001,1339.91,3.0,688748.0004882821,5057549.710156716
169,tower418,45.644013,-120.57838100000001,1339.15,3.0,688709.2415332693,5057348.379058802
170,tower419,45.642152,-120.578897,1339.16,3.0,688675.2821638177,5057140.410360514
171,tower420,45.640161,-120.57960700000001,1348.68,3.0,688626.6377703861,5056917.542351962
172,tower421,45.638379,-120.58001499999999,1346.31,3.0,688600.8237241156,5056718.6054035295
173,tower426,45.657457,-120.56193700000001,1113.03,3.0,689945.1788644644,5058880.85806766
174,tower427,45.655378000000006,-120.56238300000001,1145.15,3.0,689917.4641213876,5058648.82744886
175,tower428,45.652551,-120.564857,1170.51,3.0,689734.2662864424,5058328.888519818
176,tower429,45.645669,-120.563207,1197.78,3.0,689886.0908305363,5057568.224153444
177,tower430,45.643914,-120.563346,1230.06,3.0,689881.1919122124,5057372.9179837825
178,tower431,45.642204,-120.563511,1251.1,3.0,689874.113900071,5057182.54963761
179,tower432,45.640539000000004,-120.564035,1285.12,3.0,689838.905728659,5056996.329754075
180,tower433,45.638825,-120.564687,1314.5,3.0,689793.8850734723,5056804.3630653005
181,tower434,45.637048,-120.564775,1311.97,3.0,689793.0295529336,5056606.733982143
182,tower435,45.65215,-120.54483400000001,1083.48,3.0,691295.7044817664,5058331.977948688
183,tower436,45.650437,-120.545212,1112.8,3.0,691272.0870639696,5058140.764366452
184,tower437,45.64843,-120.54806699999999,1167.68,3.0,691056.4616508258,5057910.975453558
185,tower438,45.645978,-120.549199,1161.03,3.0,690976.5935886109,5057635.863510986
186,tower439,45.644218,-120.54885,1117.89,3.0,691009.7735893007,5057441.163806009
187,tower440,45.653673,-120.52703400000001,1100.24,3.0,692677.3575532136,5058543.8585155755
188,tower441,45.651558,-120.529098,1104.35,3.0,692523.7972843953,5058303.921980596
189,tower442,45.649839,-120.52958500000001,1117.91,3.0,692491.7444801573,5058111.774055357
190,tower443,45.64804,-120.53002,1125.06,3.0,692464.0151664834,5057910.863561419
191,tower444,45.645728000000005,-120.53145,1123.89,3.0,692360.5072244559,5057650.569638903
192,tower445,45.643719,-120.533905,1166.88,3.0,692176.0783385879,5057421.480217229
193,tower446,45.64164,-120.53605900000001,1174.37,3.0,692015.3314110973,5057185.341500525
194,tower447,45.639796000000004,-120.536045,1172.93,3.0,692022.725207851,5056980.510981316
195,tower448,45.63733,-120.53763400000001,1175.46,3.0,691907.3147619818,5056702.735694358
196,tower449,45.635142,-120.539825,1215.8,3.0,691744.0254106991,5056454.406764272
197,tower450,45.632946000000004,-120.542133,1253.23,3.0,691571.6306083826,5056204.9139579935
198,tower451,45.630759000000005,-120.54435,1258.01,3.0,691406.2837158735,5055956.643719321
199,tower452,45.628463,-120.54659199999999,1271.61,3.0,691239.3452759285,5055696.209018809
200,tower453,45.625997,-120.54839199999999,1329.67,3.0,691107.4244085436,5055417.947047006
201,tower454,45.647034000000005,-120.51703700000002,1080.7,3.0,693479.1190451658,5057830.385224188
202,tower455,45.644641,-120.518948,1100.16,3.0,693338.4476387776,5057559.913031337
203,tower456,45.642238,-120.521025,1103.51,3.0,693184.8614803287,5057287.933052883
204,tower457,45.639897999999995,-120.52206299999999,1147.1,3.0,693112.0155196555,5057025.461220273
205,tower458,45.637576,-120.522828,1143.73,3.0,693060.3768341732,5056765.648293269
206,tower459,45.63066,-120.52908300000001,1216.75,3.0,692596.5978934589,5055982.239278013
207,tower460,45.628407,-120.53130700000001,1225.4,3.0,692430.9636796996,5055726.5917266095
208,tower461,45.625796,-120.533009,1230.47,3.0,692307.2303223438,5055432.429144724
209,tower462,45.623978,-120.53300800000001,1238.36,3.0,692313.5281672681,5055230.456467544
210,tower463,45.621978000000006,-120.53204299999999,1246.27,3.0,692395.5984739263,5055010.578733604
211,tower464,45.620145,-120.53216,1273.24,3.0,692392.7505285875,5054806.656338403
212,tower465,45.618058000000005,-120.53153,1306.71,3.0,692449.0084785244,5054576.309336326
213,tower466,45.615926,-120.53081100000001,1301.71,3.0,692512.3627584826,5054341.177257251
214,tower467,45.613766,-120.529951,1306.71,3.0,692586.8103820145,5054103.273930963
215,tower468,45.640516,-120.511508,1080.7,3.0,693932.4495074908,5057119.624111644
216,tower469,45.638587,-120.511426,1085.42,3.0,693945.4989658064,5056905.515412831
217,tower470,45.637074,-120.510928,1104.6,3.0,693989.5337258494,5056738.630855942
218,tower471,45.635086,-120.51088899999999,1126.52,3.0,693999.4370995546,5056517.863405999
219,tower472,45.632791,-120.51254399999999,1157.0,3.0,693878.3676505829,5056258.887374631
220,tower473,45.630586,-120.514403,1164.76,3.0,693741.0763690196,5056009.419420419
221,tower474,45.628256,-120.516056,1180.78,3.0,693620.2612290111,5055746.565615274
